name,dept,adjustedcount,homepage,scholarid,profile_url,image_url,affiliation_from_scholar,keywords,top_papers
Timothy M. Chan,Univ. of Illinois at Urbana-Champaign,34.54997,http://tmc.web.engr.illinois.edu,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE,,,,
Hui Xiong 0001,HKUST,34.53588,https://www.hkust-gz.edu.cn/people/hui-xiong,cVDF1tkAAAAJ,https://scholar.google.com/citations?user=cVDF1tkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cVDF1tkAAAAJ&citpid=5,Rutgers University/Baidu/HKUST,Artificial Intelligence; data mining; business intelligence; mobile computing,A comprehensive survey on transfer learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=cVDF1tkAAAAJ&citation_for_view=cVDF1tkAAAAJ:Vr2j17o0sqMC); Informer: Beyond efficient transformer for long sequence time-series forecasting (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=cVDF1tkAAAAJ&citation_for_view=cVDF1tkAAAAJ:v_xunPV0uK0C); Understanding of internal clustering validation measures (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=cVDF1tkAAAAJ&citation_for_view=cVDF1tkAAAAJ:4JMBOYKVnBMC)
Li-Chen Fu,National Taiwan University,34.48446,https://robotlab.csie.ntu.edu.tw,xJQGpUgAAAAJ,https://scholar.google.com/citations?user=xJQGpUgAAAAJ,/citations/images/avatar_scholar_128.png,?�속???????�음,,Human albumin solution for resuscitation and volume expansion in critically ill patients (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=xJQGpUgAAAAJ&citation_for_view=xJQGpUgAAAAJ:aFwNBOTKqaYC); Research progress on laser surface modification of titanium alloys (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=xJQGpUgAAAAJ&citation_for_view=xJQGpUgAAAAJ:-Rb0Dl3RFGgC); Effects of sintering temperature and particle size on the translucency of zirconium dioxide dental ceramic (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=xJQGpUgAAAAJ&citation_for_view=xJQGpUgAAAAJ:zCpYd49hD24C)
David C. Parkes,Harvard University,34.46629,http://www.eecs.harvard.edu/~parkes,JUn8PgwAAAAJ,https://scholar.google.com/citations?user=JUn8PgwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JUn8PgwAAAAJ&citpid=1,"George F. Colony Professor of Computer Science, Harvard University",Economics and Computation; Multi-Agent Systems,Scratch: programming for all (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=JUn8PgwAAAAJ&citation_for_view=JUn8PgwAAAAJ:cBPnxVikjH8C); Machine behaviour (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=JUn8PgwAAAAJ&citation_for_view=JUn8PgwAAAAJ:Xz60mAmATU4C); Artificial intelligence and life in 2030: the one hundred year study on artificial intelligence (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=JUn8PgwAAAAJ&citation_for_view=JUn8PgwAAAAJ:A8cqit5AE6sC)
Kwan-Liu Ma,Univ. of California - Davis,34.43755,http://www.cs.ucdavis.edu/~ma,LgL2HpkAAAAJ,https://scholar.google.com/citations?user=LgL2HpkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LgL2HpkAAAAJ&citpid=2,"Professor of Computer Science, University of California at Davis",Visualization; Computer Graphics; High Performance Computing; Human Computer Interaction,"Terascale direct numerical simulations of turbulent combustion using S3D (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=LgL2HpkAAAAJ&citation_for_view=LgL2HpkAAAAJ:0EnyYjriUFMC); Data, information, and knowledge in visualization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=LgL2HpkAAAAJ&citation_for_view=LgL2HpkAAAAJ:KlAtU1dfN6UC); Parallel volume rendering using binary-swap compositing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=LgL2HpkAAAAJ&citation_for_view=LgL2HpkAAAAJ:u5HHmVD_uO8C)"
Hongsheng Li 0001,Chinese University of Hong Kong,34.42215,https://www.ee.cuhk.edu.hk/~hsli,BN2Ze-QAAAAJ,https://scholar.google.com/citations?user=BN2Ze-QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BN2Ze-QAAAAJ&citpid=3,The Chinese University of Hong Kong,Computer Vision; Multimodal Learning; Medical Image Analysis,StackGAN: Text to photo-realistic image synthesis with stacked generative adversarial networks (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=BN2Ze-QAAAAJ&citation_for_view=BN2Ze-QAAAAJ:dgXhHFWAKKUC); PointRCNN: 3D object proposal generation and detection from point cloud (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=BN2Ze-QAAAAJ&citation_for_view=BN2Ze-QAAAAJ:MbTKqoTs-1EC); PV-RCNN: Point-voxel feature set abstraction for 3D object detection (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=BN2Ze-QAAAAJ&citation_for_view=BN2Ze-QAAAAJ:5kvG9DmRKWYC)
Beng Chin Ooi,National University of Singapore,34.414299,http://www.comp.nus.edu.sg/~ooibc,9560QjYAAAAJ,https://scholar.google.com/citations?user=9560QjYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9560QjYAAAAJ&citpid=3,Zhejiang University,Databases; distributed systems; data analytics; machine learning; healthcare,Untangling Blockchain: A Data Processing View of Blockchain Systems (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=9560QjYAAAAJ&citation_for_view=9560QjYAAAAJ:V_vSwabWVtYC); BLOCKBENCH: A Framework for Analyzing Private Blockchains (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=9560QjYAAAAJ&citation_for_view=9560QjYAAAAJ:H7nrzBkawXsC); Efficient Progressive Skyline Computation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=9560QjYAAAAJ&citation_for_view=9560QjYAAAAJ:u5HHmVD_uO8C)
Ming C. Lin,University of Maryland - College Park,34.3873,http://www.cs.umd.edu/~lin,ugFNit4AAAAJ,https://scholar.google.com/citations?user=ugFNit4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ugFNit4AAAAJ&citpid=2,Distinguished University Professor of University of Maryland at College Park & Amazon,Computer Animation; Computer Graphics; Geometric Modeling; Robotics; Virtual Reality,OBBTree: A hierarchical structure for rapid interference detection (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=ugFNit4AAAAJ&citation_for_view=ugFNit4AAAAJ:u5HHmVD_uO8C); Reciprocal n-Body Collision Avoidance (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=ugFNit4AAAAJ&citation_for_view=ugFNit4AAAAJ:BqipwSGYUEgC); Collision and Proximity Queries (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=ugFNit4AAAAJ&citation_for_view=ugFNit4AAAAJ:wyoMR1qFDH8C)
Michael K. Reiter,Duke University,34.26762,https://reitermk.github.io,qAKfQW0AAAAJ,https://scholar.google.com/citations?user=qAKfQW0AAAAJ,,,,
Liang Lin,Sun Yat-sen University,34.189339,http://www.linliang.net,Nav8m8gAAAAJ,https://scholar.google.com/citations?user=Nav8m8gAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Nav8m8gAAAAJ&citpid=2,"Fellow of IEEE/IAPR, Professor of Computer Science, Sun Yat-sen University",Embodied AI; Multimodal Data Analysis and Understanding; Machine Perception and Learning,Ntire 2017 challenge on single image super-resolution: Methods and results (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Nav8m8gAAAAJ&citation_for_view=Nav8m8gAAAAJ:-qiMcZ-2Z0YC); SNAS: stochastic neural architecture search (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Nav8m8gAAAAJ&citation_for_view=Nav8m8gAAAAJ:2adpFNImVzkC); Is faster R-CNN doing well for pedestrian detection? (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Nav8m8gAAAAJ&citation_for_view=Nav8m8gAAAAJ:OlbiQ0ttILcC)
Zhiyuan Liu 0001,Tsinghua University,34.171362,http://nlp.csai.tsinghua.edu.cn/~lzy,dT0v5u0AAAAJ,https://scholar.google.com/citations?user=dT0v5u0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dT0v5u0AAAAJ&citpid=27,"Associate Professor, Tsinghua University",Artificial Intelligence; Natural Language Processing; Knowledge Graph; Social Computing,Graph neural networks: A review of methods and applications (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=dT0v5u0AAAAJ&citation_for_view=dT0v5u0AAAAJ:kOdZbmsmKqcC); Learning Entity and Relation Embeddings for Knowledge Graph Completion (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=dT0v5u0AAAAJ&citation_for_view=dT0v5u0AAAAJ:pUxgyZctzPYC); ERNIE: Enhanced language representation with informative entities (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=dT0v5u0AAAAJ&citation_for_view=dT0v5u0AAAAJ:wlzmIqt2EaEC)
Toby Walsh,UNSW,34.16772,http://www.cse.unsw.edu.au/~tw,oOQ6x0IAAAAJ,https://scholar.google.com/citations?user=oOQ6x0IAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oOQ6x0IAAAAJ&citpid=3,"Professor, UNSW and CSIRO Data61",AI; Constraints; Satisfiability; Optimisation; Computational Social Choice,Handbook of constraint programming (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=oOQ6x0IAAAAJ&citation_for_view=oOQ6x0IAAAAJ:u5HHmVD_uO8C); Handbook of satisfiability (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=oOQ6x0IAAAAJ&citation_for_view=oOQ6x0IAAAAJ:KaMxkj08jr0C); A theory of abstraction (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=oOQ6x0IAAAAJ&citation_for_view=oOQ6x0IAAAAJ:u-x6o8ySG0sC)
Kathy McKeown,Columbia University,34.097087,http://www.cs.columbia.edu/~kathy,ujDhg2sAAAAJ,https://scholar.google.com/citations?user=ujDhg2sAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ujDhg2sAAAAJ&citpid=2,"Professor of Computer Science and Director, Data Science Institute, Columbia University",Artificial Intelligence; Natural Language Processing; Text Summarization,Predicting the semantic orientation of adjectives (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=ujDhg2sAAAAJ&citation_for_view=ujDhg2sAAAAJ:4DMP91E08xMC); Text generation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=ujDhg2sAAAAJ&citation_for_view=ujDhg2sAAAAJ:Wp0gIr-vW9MC); Sentence fusion for multidocument news summarization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=ujDhg2sAAAAJ&citation_for_view=ujDhg2sAAAAJ:hFOr9nPyWt4C)
Oded Goldreich 0001,Weizmann Institute of Science,34.05231,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1877,DLQW_LoAAAAJ,https://scholar.google.com/citations?user=DLQW_LoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DLQW_LoAAAAJ&citpid=2,"Professor of Computer Science, Weizmann Institute of Science",Theory of computation; Theoretical Computer Science,"Foundations of Cryptography (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DLQW_LoAAAAJ&citation_for_view=DLQW_LoAAAAJ:yTLRzDEmwhEC); How to play any mental game, or a completeness theorem for protocols with honest majority (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DLQW_LoAAAAJ&citation_for_view=DLQW_LoAAAAJ:0aBXIfxlw9sC); Private information retrieval (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DLQW_LoAAAAJ&citation_for_view=DLQW_LoAAAAJ:zYLM7Y9cAGgC)"
Davide Scaramuzza 0001,University of Zurich,34.03217,http://rpg.ifi.uzh.ch,SC9wV2kAAAAJ,https://scholar.google.com/citations?user=SC9wV2kAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SC9wV2kAAAAJ&citpid=13,"Professor of Robotics and Perception, University of Zurich",Robotics; Robot Vision; Micro Air Vehicles; SLAM; Robot Learning,"Introduction to autonomous mobile robots (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=SC9wV2kAAAAJ&citation_for_view=SC9wV2kAAAAJ:MNNNGtAgD4EC); Past, present, and future of simultaneous localization and mapping: Toward the robust-perception age (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=SC9wV2kAAAAJ&citation_for_view=SC9wV2kAAAAJ:TiIbgCYny7sC); SVO: Fast Semi-Direct Monocular Visual Odometry (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=SC9wV2kAAAAJ&citation_for_view=SC9wV2kAAAAJ:cFHS6HbyZ2cC)"
Sham M. Kakade,Harvard University,33.93643,https://homes.cs.washington.edu/~sham,wb-DKCIAAAAJ,https://scholar.google.com/citations?user=wb-DKCIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wb-DKCIAAAAJ&citpid=2,Harvard University,Machine Learning; Artificial Intelligence; Statistics; Optimization,Gaussian process optimization in the bandit setting: No regret and experimental design (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wb-DKCIAAAAJ&citation_for_view=wb-DKCIAAAAJ:kuK5TVdYjLIC); A natural policy gradient (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wb-DKCIAAAAJ&citation_for_view=wb-DKCIAAAAJ:d1gkVwhDpl0C); Approximately optimal approximate reinforcement learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wb-DKCIAAAAJ&citation_for_view=wb-DKCIAAAAJ:ufrVoPGSRksC)
Hujun Bao,Zhejiang University,33.78896,http://www.cad.zju.edu.cn/home/bao,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE,,,,
Volkan Cevher,EPFL,33.75355,https://people.epfl.ch/volkan.cevher,hlWhzU8AAAAJ,https://scholar.google.com/citations?user=hlWhzU8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hlWhzU8AAAAJ&citpid=2,"Associate Professor, LIONS, EPFL. Amazon Scholar (AGI Foundations).",Machine Learning; Optimization; Signal Processing; Information Theory; Statistics,Model-based compressive sensing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=hlWhzU8AAAAJ&citation_for_view=hlWhzU8AAAAJ:u5HHmVD_uO8C); Ultrasensitive hyperspectral imaging and biodetection enabled by dielectric metasurfaces (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=hlWhzU8AAAAJ&citation_for_view=hlWhzU8AAAAJ:AbS6eEh_b9AC); Digress: Discrete denoising diffusion for graph generation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=hlWhzU8AAAAJ&citation_for_view=hlWhzU8AAAAJ:Qovp55VTycgC)
Michael R. Lyu,Chinese University of Hong Kong,33.752463,http://www.cse.cuhk.edu.hk/lyu,uQnBgK0AAAAJ,https://scholar.google.com/citations?user=uQnBgK0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uQnBgK0AAAAJ&citpid=2,"Professor of Computer Science & Engineering, The Chinese University of Hong Kong",software engineering; software reliability; fault tolerance; machine learning; distributed systems,Handbook of software reliability engineering (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=uQnBgK0AAAAJ&citation_for_view=uQnBgK0AAAAJ:u5HHmVD_uO8C); Recommender systems with social regularization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=uQnBgK0AAAAJ&citation_for_view=uQnBgK0AAAAJ:VOx2b1Wkg3QC); Sorec: social recommendation using probabilistic matrix factorization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=uQnBgK0AAAAJ&citation_for_view=uQnBgK0AAAAJ:Zph67rFs4hoC)
Fabio Ramos 0001,University of Sydney,33.69867,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/fabio-ramos.html,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE,,,,
Maneesh Agrawala,Stanford University,33.662535,http://graphics.stanford.edu/~maneesh,YPzKczYAAAAJ,https://scholar.google.com/citations?user=YPzKczYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YPzKczYAAAAJ&citpid=2,Stanford University,Graphics; Computer Graphics; HCI; Visualization,Adding conditional control to text-to-image diffusion models (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=YPzKczYAAAAJ&citation_for_view=YPzKczYAAAAJ:xoCRtiy2jdkC); Digital photography with flash and no-flash image pairs (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=YPzKczYAAAAJ&citation_for_view=YPzKczYAAAAJ:9yKSN-GCB0IC); Interactive digital photomontage (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=YPzKczYAAAAJ&citation_for_view=YPzKczYAAAAJ:u5HHmVD_uO8C)
Martin Buss,TU Munich,33.62074,https://www.professoren.tum.de/buss-martin,lnXdaEwAAAAJ,https://scholar.google.com/citations?user=lnXdaEwAAAAJ,/citations/images/avatar_scholar_128.png,"Professor of Electronics and Information Technology, Technische Universität München",Automatic control; Mechatronics & robotics; Multi-modal human-system interfaces; Telepresence systems; Human-robot interaction,Feature extraction and selection for emotion recognition from EEG (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=lnXdaEwAAAAJ&citation_for_view=lnXdaEwAAAAJ:nqdriD65xNoC); Human?�robot collaboration: a survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=lnXdaEwAAAAJ&citation_for_view=lnXdaEwAAAAJ:RHpTSmoSYBkC); Optimierung (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=lnXdaEwAAAAJ&citation_for_view=lnXdaEwAAAAJ:idthP5jqfYAC)
Kei Okada,University of Tokyo,33.61336,http://www.jsk.t.u-tokyo.ac.jp/~k-okada/index-e.html,D0I9x20AAAAJ,https://scholar.google.com/citations?user=D0I9x20AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=D0I9x20AAAAJ&citpid=4,"Assistant professor, Tokyo University of Agriculture",Forest Ecology; Mycorrhizal Ecology; Ecosystem Ecology,Biodiversity?�productivity relationships are key to nature-based climate solutions (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=D0I9x20AAAAJ&citation_for_view=D0I9x20AAAAJ:3fE2CSJIrl8C); Termite sensitivity to temperature affects global wood decay rates (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=D0I9x20AAAAJ&citation_for_view=D0I9x20AAAAJ:Zph67rFs4hoC); A meta-analysis on decomposition quantifies afterlife effects of plant diversity as a global change driver (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=D0I9x20AAAAJ&citation_for_view=D0I9x20AAAAJ:hqOjcs7Dif8C)
Frédo Durand,Massachusetts Institute of Technology,33.58255,http://people.csail.mit.edu/fredo,NJ9c4ygAAAAJ,https://scholar.google.com/citations?user=NJ9c4ygAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NJ9c4ygAAAAJ&citpid=3,"Professor of Computer Science, MIT",Computer Graphics; Computational Photography,Fast bilateral filtering for the display of high-dynamic-range images (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=NJ9c4ygAAAAJ&citation_for_view=NJ9c4ygAAAAJ:u5HHmVD_uO8C); Learning to predict where humans look (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=NJ9c4ygAAAAJ&citation_for_view=NJ9c4ygAAAAJ:_FxGoFyzp5QC); Image and depth from a conventional camera with a coded aperture (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=NJ9c4ygAAAAJ&citation_for_view=NJ9c4ygAAAAJ:9yKSN-GCB0IC)
Ramakant Nevatia,University of Southern California,33.54919,http://iris.usc.edu/people/nevatia,EUMYhUvzt6IC,https://scholar.google.com/citations?user=EUMYhUvzt6IC,/citations/images/avatar_scholar_128.png,?�속???????�음,,"Global data association for multi-object tracking using network flows (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=EUMYhUvzt6IC&citation_for_view=EUMYhUvzt6IC:aqlVkmm33-oC); Detection of multiple, partially occluded humans in a single image by bayesian combination of edgelet part detectors (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=EUMYhUvzt6IC&citation_for_view=EUMYhUvzt6IC:2osOgNQ5qMEC); Linear feature extraction and description (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=EUMYhUvzt6IC&citation_for_view=EUMYhUvzt6IC:u5HHmVD_uO8C)"
Daniel Jurafsky,Stanford University,33.41781,http://web.stanford.edu/~jurafsky,uZg9l58AAAAJ,https://scholar.google.com/citations?user=uZg9l58AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uZg9l58AAAAJ&citpid=2,"Professor of Linguistics and Computer Science, Stanford University",Natural Language Processing; Speech Recognition; Computational Linguistics; Linguistics; Computational Social Science,"Speech and language processing: An introduction to natural language processing, computational linguistics, and speech recognition (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=uZg9l58AAAAJ&citation_for_view=uZg9l58AAAAJ:2osOgNQ5qMEC); Speech and language processing, 2nd edition (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=uZg9l58AAAAJ&citation_for_view=uZg9l58AAAAJ:ZfRJV9d4-WMC); On the opportunities and risks of foundation models (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=uZg9l58AAAAJ&citation_for_view=uZg9l58AAAAJ:L_l9e5I586QC)"
Alexander G. Schwing,Univ. of Illinois at Urbana-Champaign,33.340523,http://www.alexander-schwing.de,3B2c31wAAAAJ,https://scholar.google.com/citations?user=3B2c31wAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3B2c31wAAAAJ&citpid=2,University of Illinois at Urbana-Champaign,machine learning; computer vision,Masked-attention mask transformer for universal image segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=3B2c31wAAAAJ&citation_for_view=3B2c31wAAAAJ:t7zJ5fGR-2UC); Per-pixel classification is not all you need for semantic segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=3B2c31wAAAAJ&citation_for_view=3B2c31wAAAAJ:NJ774b8OgUMC); Semantic image inpainting with deep generative models (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=3B2c31wAAAAJ&citation_for_view=3B2c31wAAAAJ:bEWYMUwI8FkC)
James M. Rehg,Univ. of Illinois at Urbana-Champaign,33.166275,http://rehg.org,8kA3eDwAAAAJ,https://scholar.google.com/citations?user=8kA3eDwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8kA3eDwAAAAJ&citpid=3,"Founder Professor of Computer Science, University of Illinois at Urbana-Champaign",computer vision; robotics; machine learning; human-computer interaction; parallel and distributed,"Statistical color models with application to skin detection (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8kA3eDwAAAAJ&citation_for_view=8kA3eDwAAAAJ:u5HHmVD_uO8C); The secrets of salient object segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8kA3eDwAAAAJ&citation_for_view=8kA3eDwAAAAJ:edDO8Oi4QzsC); Ego4d: Around the world in 3,000 hours of egocentric video (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8kA3eDwAAAAJ&citation_for_view=8kA3eDwAAAAJ:UuEBAcK4md4C)"
Ping Luo 0002,University of Hong Kong,33.114221,http://luoping.me,aXdjxb4AAAAJ,https://scholar.google.com/citations?user=aXdjxb4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aXdjxb4AAAAJ&citpid=3,"Associate Professor, The University of Hong Kong; MMLAB@HKU",Computer Vision; Deep Learning; Generative AI; Embodied AI; LLM,Deep Learning Face Attributes in the Wild (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=aXdjxb4AAAAJ&citation_for_view=aXdjxb4AAAAJ:9ZlFYXVOiuMC); SegFormer: Simple and efficient design for semantic segmentation with transformers (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=aXdjxb4AAAAJ&citation_for_view=aXdjxb4AAAAJ:ipzZ9siozwsC); Pyramid vision transformer: A versatile backbone for dense prediction without convolutions (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=aXdjxb4AAAAJ&citation_for_view=aXdjxb4AAAAJ:-_dYPAW6P2MC)
Benjamin Van Durme,Johns Hopkins University,33.042769,http://www.cs.jhu.edu/~vandurme,wIujAJoAAAAJ,https://scholar.google.com/citations?user=wIujAJoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wIujAJoAAAAJ&citpid=3,Johns Hopkins University / Microsoft,Linguistics; Natural Language Processing; Artificial Intelligence,What do you learn from context? probing for sentence structure in contextualized word representations (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wIujAJoAAAAJ&citation_for_view=wIujAJoAAAAJ:Fu2w8maKXqMC); PPDB: The paraphrase database (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wIujAJoAAAAJ&citation_for_view=wIujAJoAAAAJ:4JMBOYKVnBMC); Gender bias in coreference resolution (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wIujAJoAAAAJ&citation_for_view=wIujAJoAAAAJ:dTyEYWd-f8wC)
Xuanjing Huang 0001,Fudan University,33.009293,http://www.cs.fudan.edu.cn/?page_id=1836,RGsMgZA4H78C,https://scholar.google.com/citations?user=RGsMgZA4H78C,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RGsMgZA4H78C&citpid=2,"Professor of Computer Science, Fudan University",Natural language processing; Large language model,How to fine-tune bert for text classification? (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RGsMgZA4H78C&citation_for_view=RGsMgZA4H78C:K0rJQjkOV9sC); Recurrent neural network for text classification with multi-task learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RGsMgZA4H78C&citation_for_view=RGsMgZA4H78C:5-tCjTwfAdEC); Pre-trained models for natural language processing: A survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RGsMgZA4H78C&citation_for_view=RGsMgZA4H78C:GbL5_m8SeH4C)
Xiaodan Liang,Sun Yat-sen University,32.951923,https://www.cs.cmu.edu/~xiaodan1,voxznZAAAAAJ,https://scholar.google.com/citations?user=voxznZAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=voxznZAAAAAJ&citpid=4,"Professor of Computer Science, Sun Yat-sen University, MBZUAI, CMU, NUS",Computer vision; Embodied AI; Machine learning,Controllable text generation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=voxznZAAAAAJ&citation_for_view=voxznZAAAAAJ:wE-fMHVdjMkC); Is faster R-CNN doing well for pedestrian detection? (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=voxznZAAAAAJ&citation_for_view=voxznZAAAAAJ:aIdbFUkbNIkC); Perceptual generative adversarial networks for small object detection (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=voxznZAAAAAJ&citation_for_view=voxznZAAAAAJ:SAZ1SQo2q1kC)
